List of Permitted Ayurveda Colleges for the academic year 2024-25 as on 05.02.2026,,,,,,,,,,,,
224,AYU0152,Maharashtra,"Bharatiya Sanskriti Darshan
Trust’s Ayurved Mahavidyalaya Vishwa Shanti Dham, A/P Wagholi,
Tal.-Haweli, Dist.-Pune-412207, Maharashtra",Private,"Grant of Conditional permission with 60 seats in UG (BAMS) course and 15 Seats in 04 PG Courses namely
(i)   Ayurveda   Samhita   and   Siddhant-03   seats   (ii) Rachna Sharir-06 seats (iii) Kayachikitsa-03 seats (iv) Rog
Nidan avum Vikriti Vigyan - 03 Seats, under section 28 of NCISM Act, 2020 for the academic session 2024-25 and  issuance  of  Letter  of  Permission  to  start  01 new  PG  course  in the  subject  namely Panchkarma-03 seats, under section 29 of NCISM Act, 2020 from the academic session 2024-25",60,18,0,0,0,0,"Conditional Permission (UG - 60 seats, PG - 15
seats without EWS) & Letter of Permission 01 new PG course"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
225,AYU0153,Maharashtra,"Chhatrapati Shahu Maharaj Shikshan Sanstha’s Ayurved Mahavidyalaya & Rugnalaya Kanchanwadi,
Paithan Road Tq. & Distt. Aurangabad -431002 Maharashtra",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)  course  and  48  seats  in  08  PG  course  in  the subject  namely  (i)  Ayurved  Samhita   Siddhant-  06 seats,  (ii)  Dravyaguna-06  seats,  (iii)  Kaumarbhritya- 06 seats, (iv) Kayachikitsa- 06 seats, (v) Panchakarma 06  seats,  (vi)  Prasuti  Tantra  and  Stri  Rog-  06  Seats,
(vii) Roga Nidan and Vikriti Vigyan- 06 Seats, and (viii) Shalya Tantra- 06 seats for the academic session 2024 25 under section 28 of NCISM Act, 2020",100,48,0,0,0,0,"Conditional Permission (UG - 100 seats, PG - 48
seats without EWS)"
226,AYU0257,Uttar Pradesh,"Faculty of Ayurveda Institute of Medical Sciences,
Banaras Hindu University, Distt. Varanasi- 221005, Uttar Pradesh",Central University (Government),"Grant of Conditional Permission with intake capacity of
60  seats  (75  seats  including  EWS)  in  UG  (BAMS) course and 43 seats (54 seats including EWS) in 13 PG Courses  namely  (i)  Kayachikitsa  -05  seats  (06  seats including EWS) (ii) Rachana Sharir -02 seats (03 seats including  EWS)  (iii)  Kriya  Sharir  -02  seats  (03  seats including EWS) (iv) Dravyaguna  Vigyan -03 seats (04 seats including EWS) (v) Kaumarbhritya -03 seats (04 seats including EWS) (vi) Rasa Shastra - 03 seats (04 seats including EWS) (vii) Prasuti & Stri Raga -04 seats (05  seats  including  EWS)  (viii)  Ayurved  Samhita  & Siddhant -04 seats (05 seats including EWS) (ix) Shalakya  Tantra  -02  seats  (03  seats  including  EWS)
(x) Rog Nidan -02 seats (03 seats including EWS) (xi) Shalya Tantra -11 seats (12 seats including EWS) (xii) Kayachikitsa  -  Manovigyana  avum  manas  Raga  -01 seats (without EWS) (xiii) Swasthavritta -01 seats (without EWS) and 05 seats (07 seats including EWS ) in 02 PG Diploma courses namely i) Kaumarabhritya Balaroga-  02  seats  (03  seats  including  EWS)  and  ii) Ksharakarma  avum  Anushastra  karma-  03  seats  (04 seats including EWS) for the academic session 2024-25
under section 28 of NCISM Act, 2020",60,43,5,75,54,7,"Conditional Permission (UG - 60 seats, PG - 43
seats without EWS) & (UG
- 75 seats, PG - 54 seats including EWS) & 2 PG Diploma course"
227,AYU0326,Maharashtra,"Anandi Shikshan Prasark Mandal’s, Ayurved College, Hospital & Research Institute, Dhad Naka Area, Ajanta Road, Buldana-443001, Maharashtra",Private,"Grant  of  Renewal  of  Permission  for  100  seats  in  UG (BAMS)   course   for   the   academic   session   2024-25 under section 29 of NCISM Act, 2020",100,0,0,0,0,0,Renewal of Permission (UG - 100 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
228,AYU0360,Uttar Pradesh,"Jeevan Jyoti Ayurvedic Medical College & Hospital,
10TH K.M. Mile Stone, Khair Road Lodha,
Aligarh-202140, Uttar Pradesh",Private,"Grant  of  Conditional  Permission  with  60  seats  in  UG (BAMS)  course  and  12  seats  in  02  PG  courses  in  the subjects namely (i) Prasuti & Stri Roga - 06 seats, (ii) Shalayatantra  -  06  seats  under  section  28  of  NCISM Act, 2020 for the academic session 2024-25.",60,12,0,0,0,0,"Conditional Permission (UG - 60 seats, PG - 12
seats without EWS)"
229,AYU0361,Maharashtra,"Yashvantrao Chavan Ayurvedic Medical College & Hospital, Shiva Trust Campus, Nipani Bhalgaon, Near Videocon Communication Ltd., Beed Highway Road, Aurangabad- 431005, Maharashtra",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)  course  and  24  seats  in  04  PG  courses  in  the subject  namely  namely  (i)  Kayachikitsa-06  seats  (ii) Ayurveda  Samhita  Siddhanta-  06  seats  (iii)  Prasuti Tantra & Stri Raga - 06 seats and (iv) Kaumarbhritya- 06  seats  for  the  academic  session  2024-25  under section 28 of NCISM Act, 2020",100,24,0,0,0,0,"Conditional Permission (UG - 100 seats, PG - 24
seats without EWS)"
230,AYU0363,Maharashtra,"Dr. R.N. Lahoti Ayurvedic College, Hospital & Research Institute at Sultanpur,
Tal-Lonar, Buldhana-443307, Maharashtra",Private,"Grant of Conditional permission for intake capacity with
60  seats  in  UG  (BAMS)  Course  under  section  28  of NCISM  Act,  2020  for  the  academic  session  2024-25 and
issuance  of  Letter  of  Permission  for  increase  in intake capacity in existing UG (BAMS) Course from 60 seats  to  100  seats  under  section  29  of  NCISM  Act, 2020 from the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 60 seats without EWS) & Issuance Letter of Permission 60 to 100 seats
231,AYU0368,Gujarat,"Shree Swaminarayan Ayurvedic College,
Opp. Kalol G.I.D.C. National Highway No. 8,
At & Post-Saij, Ta.-Kalol, Distt. Gandhinagar- 382721, Gujarat",Private,"Grant  of  Conditional  with  100  seats  in  UG  (BAMS) course  and  25  seats  in  05  PG  courses  in  the  subject namely (i) Kayachikitsa -05 seats (ii) Shalya - 05 seats
(iii) Prasuti & StriRoga - 05 seats (iv) Rog Nidanavum Vikriti   Vigyan   -   05   seats   (v)  Ayurved   Samhita   & Siddhanta-   05   seats   under   section   28   of   NCISM Act,2020 for the academic session 2024-25",100,25,0,0,0,0,Conditional Permission (UG - 100 seats & PG - 25 seats without EWS)
232,AYU0540,Maharashtra,"Sant Gajanan Maharaja Ayurved Medical College, Mahagaon, Tal. Gadhinslaj,
Distt. Kolhapur, Maharashtra-406503",Private,"Grant  of  Conditional  Permission  for  60  seats  in  UG (BAMS)   course   for   the   academic   session   2024-25 under section 28 of NCISM Act, 2020",60,0,0,0,0,0,Conditional Permission  ( UG - 60 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
233,AYU0542,Karnataka,"Yenepoya Ayurvedic Medical College & Hospital, R.S.No.28/29/32: Naringana Village, Post: Deralakatte (Mangaluru) Talk: Bantval, Distt. Dikshin Kannada-575018, Karnataka,",Deemed University (Private),"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)   course   for   the   academic   session   2024-25 under section 28 of NCISM Act, 2020",100,0,0,0,0,0,Conditional Permission  ( UG - 100 seats without EWS)
234,AYU0732,Uttar Pradesh,"Javitri Institute of Ayurveda Medical Sciences, Viii & Post- Kankaha, Tehsil- Mohanlalganj, Dist- Lucknow-226303",Private,"Grant  of  2nd  Renewal  of  Permission  with  60  seats  in UG  (BAMS)  course  for  the  academic  session  2024-25 under section 29 of NCISM Act, 2020",60,0,0,0,0,0,2nd Renewal of Permission ( UG - 60 seats without EWS)
235,AYU0803,Maharashtra,"Matoshri Ayurved College, Hospital and Research Centre, Karjule Harya, Tal. Parner, Vitthal Nagar, Kokate Vasti, Karjule Harya Parner, Dist.
Ahemadnagar-414304,",Private,"Grant of 2nd Renewal of Permission with 100 seats in UG  (BAMS)  course  for  the  academic  session  2024-25 under section 29 of NCISM Act, 2020",100,0,0,0,0,0,2nd Renewal of Permission ( UG - 100 seats without EWS)
236,AYU0262,West Bengal,"Institute of Post Graduate Ayurvedic Education & Research Shyamadas Vidya Shastra, Pith. 294/3/1 Asharya Prafulla Chandra Road, Kolkata- 700009,
West Bengal",Government,"Grant of Conditional Permission with 17 seats (21 seats including EWS) [instead of 19 seats (24 seats including EWS)]   in   05   PG   courses   in   subjects   namely   (i) Kayachikitsa-   06   seats   (07   seats   including   EWS) [instead  of  07  seats  (08  seats  including  EWS)]  (ii) Ayurved  Samhita  &  Siddhant  -  02  seats  (03  seats including  EWS)  (iii)  Panchkarma  -  02  seat  (without EWS)  (iv) Dravyaguna - 05 seats (06 seats including EWS)  [instead  of  06  seats  (07  seats  including  EWS)]
(v)  Roga  Nidan  -  02  seats  (03  seats  including  EWS) course   for   the   academic   session   2024-   25   under section 28 of NCISM Act, 2020 and relevant regulations thereunder in respect of appeal dated 24.10.2024.",0,17,0,0,21,0,Conditional Permission after 1st Appeal (PG - 17 seats without EWS & PG - 21 seats including EWS)
237,AYU0001,Telangana,"Dr. BRKR Govt. Ayurvedic College,
Opp. E.S.I Hospital, Erragadda, Hyderabad-500038,
Telangana",Government,"Grant of Conditional Permission with 50 seats (63 seats including EWS) in UG (BAMS) course and 38 seats (48 seats  including  EWS) in  07 PG  courses in  the  subject namely (i) Kayachikitsa - 10 seats (11 seats including EWS) (ii) Dravyaguna Vigyana- 06 seats (08 including EWS)  (iii)  Panchkarma-  06  seats  (07  seats  including EWS) (iv) Ayurved Samhita & Siddhanta- 06 seats (07 seats including EWS) (v) Shalya Tantra - 03 seats (05 seats  including  EWS)  (vi)  Shalakya  Tantra-  03  seats (04 seats including EWS) (vii) Prasuti & Stri Roga- 04 seats   (06   seats   including   EWS)   for   the   academic session 2024-25 under section 28 of NCISM Act, 2020",50,38,0,63,48,0,"Conditional Permission (UG - 63 seats, PG - 48
seats including EWS & UG - 50 seats, PG - 38 seats without EWS)"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
238,AYU0031,Gujarat,"Shri OH Nazar Ayurved College, Nr. Railway Station, Lal Darwaja Road,
Tauka: Choryasi, Dist- Surat- 395003,
Gujarat",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS) course, under section 28 of NCISM Act, 2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
239,AYU0443,Gujarat,"RK University Ayurvedic College & Hospital,
RK University Campus, Rajkot- Bhavnagar Highway, Kasturbadham, Rajkot-360020, Gujarat",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS) course, under section 28 of NCISM Act, 2020 for the academic session 2024-25",100,0,0,0,0,0,Conditional Permission (UG - 100 seats without EWS)
240,AYU0469,Gujarat,"Parul Institute of Ayurved & Research,
P.O. Limda, Ta. Waghodia, Distt. Vadodara-391760, Gujarat",Private,"Grant  of  Conditional  Permission  with  100 seats  in UG (BAMS)  course  under  section  28  of  NCISM  Act,  2020 and   renewal   of   Conditional   Permission   in   14   PG courses   with   84   seats   in   the   subject   namely   (i) Ayurveda  Samhita  evam  Siddhanta  (ii)  Rachna  Sharir
(iii)    Kriya    Sharir    (iv)    Dravyaguna    Vigyana    (v) Rasashastra   evam   Bhaishajya   Kalpana   (vi)   Roga Nidanaevam  Vikriti  Vigyana  (vii)  AgadaTantra  (viii) Prasutievam  Stri  Roga  (ix)  Kaumarabhritya-Balaroga
(x)  Swasthavritta  (xi)  Kayachikitsa  (xii)  ShalyaTantra
(xiii)  ShalakyaTantra  and  (xiv)  Panchkarma  with  06 seats in each subject under
section  29  of  NCISM  Act,  2020  for  the  academic session 2024-25",100,84,0,0,0,0,Conditional Permission and Renewal of Permission in 14 PG Courses (UG - 100 seats without EWS & PG- 84 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
241,AYU0134,Madhya Pradesh,"Pt. Khushilal Sharma Govt. (Autonomous) Ayurved College & Institute, Behind Manit, Nehru Nagar,
Kolar Bypass Road, Science Hills,
Bhopal-462003, Madhya Pradesh",Government,"Grant of conditional permission with intake capacity of
60  seats  (75  Seats  Including  EWS)  in  UG  (BAMS) course and 57 seats (69 seats including EWS) in 11 PG courses  in  the  subjects  namely  (i)  Swasthavritta  & Yoga - 04 seats (06 seats including EWS), (ii) Prasuti and   Stri   Roga-   05   seats   (including   EWS),   (iii) Dravyaguna  Vigyana  -  05  seats  (06  seats  including EWS), (iv) Rog Nidan Avam Vikriti Vigyan- 06 seats (07 seats including EWS),  (v) Panchkarma  - 05 seats (06 seats including EWS), (vi) Rachna Sharir- 06 seats (08 seats including EWS),  (vii)  Kriya  Sharir-  05  seats (07 seats including EWS), (viii) Kayachikitsa - 05 seats (06 seats   including   EWS),   (ix)   Ayurved   Samhita   and Siddhanta-  05  seats  (06  seats  including  EWS),  (x) Agad tantra  avum vidhi vaidyaka-  06 seats (including EWS) and (xi) Rasa Shastra & Bhaishajya Kalpana- 05 seats   (06   seats   including   EWS)   for   the   academic session 2024-25, under section 28 of NCISM Act, 2020 and Letter of Permission to start 01 new PG course with 05 seats in the subject namely Shalya Tantra from the  academic  session  2024-25,  under  section  29  of NCISM Act,  2020 and relevant  regulations thereunder in respect of 1st appeal.",60,62,0,75,74,0,Conditional Permission (UG - 60 seats without EWS & PG - 62 seats without EWS) & (UG - 75 seats with EWS & PG - 74 seats with EWS) & Letter of Permission 01 new PG course
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
242,AYU0017,Chhattisgarh,"Shri Narayan Prasad Awasthi Government Ayurvedic College,
G.E. Road, Raipur- 492001, Chhattisgarh",Government,"Grant of conditional permission for intake capacity with
60  seats  (75  seats  including  EWS)  in  UG  (BAMS) course, and 52 seats (65 seats including EWS) [instead of 53 seats (66 seats including EWS)] in 11 PG courses namely (i) Ayurved Samhita, Sanskrit &. Siddhanta-03 seats (04 seats including EWS) (ii) Agad Tantra avum Vidhi Vaidyaka- 06 seats (07 seats including EWS) (iii) Dravyaguna   Vigyana-06   seats   (08   seats   including EWS) (iv) Kriya Sharir-06 (08 seats including EWS) (v) Kayachikitsa-05 (06 seats including EWS) (vi)  Shalya- 03  (04  seats  including  EWS)  (vii)  Swasthavritta-05 Seats (06 seats including EWS) [instead of 06 seats
{07  seats  including  EWS)]  (viii)  Rachna  Sharir-03 (04   seats   including   EWS)   (ix)   Rasa   Shastra   &. Bhaisajya Kalpana-03 (04 seats including EWS) (x) Rog Nidan-Rog
Nidan avum Vikriti Vigyan-06 (07 seats including EWS)
(xi)  Kaumarbhritya-Bala  Roga-06  (07  seats  including EWS)  under  section  28  of  NCISM  Act,  2020  for  the academic session 2024-25",60,52,0,75,65,0,Conditional Permission with Seat Reduction in 01 PG (UG - 60 seats without EWS & PG - 52 seats without EWS) & (UG - 75 seats with EWS & PG - 65 seats with EWS)
243,AYU0002,Andhra Pradesh,"Dr. NR Shastry Govt. Ayurvedic College,
M.G. Road, Vijayawada-520002, Urban Mandal, Krishna District. Andhra Pradesh",Government,"Grant of Conditional Permission with intake capacity of 60 seats (75 seats including EWS) in UG (BAMS) & 20 seats  (25  seats  including  EWS)  in  04  PG  subjects namely  (i)  Dravyaguna  Vigyana-  05  Seats  (06  Seats including EWS) (ii) Rasa shastra & Bhaisajya Kalpana-
5  Seats  (06  seats  including  EWS),  (iii)  Prasuti  Tantra evum  Stri  Roga  -  5  Seats  (06  Seats  including  EWS),
(iv) Kayachikitsa- 5 Seats (07 Seats including EWS) for the  academic  session  2024-25  under  section  28  of NCISM Act, 2020",60,20,0,75,25,0,Conditional Permission after 1st Appeal (UG - 60 seats without EWS & PG - 20 seats without EWS) & (UG - 75 seats with EWS & PG - 25 seats with EWS)
244,AYU0080,Karnataka,"JSVV Samsthe’s Danappa Gurushiddappa Melmalagi Ayurvedic Medical College, Hospital,
Dr. Savadi Road, Shivananda Nagar, Ta. & Distt. Gadag- 582103, Karnataka",Grant-in-aid,"Grant of Conditional Permission with intake capacity of 60 seats in UG (BAMS) course and 04 PG course with
19 seats in the subjects namely (i) Kaya Chikitsa -05 seats   ii)Dravyaguna   Vigyana-   04   seats   (iii)   Rasa Shastra     &     Bhaisajya     Kalpana-05     seats     (iv) Panchakarma- 05 seats for the academic session 2024- 25 under section 28 of NCISM Act, 2020",60,19,0,0,0,0,"Conditional Permission (UG - 60 seats, PG - 19
seats without EWS)"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
245,AYU0121,Madhya Pradesh,"Govt. Auto Ayurved College & Hospital,
Amkho, Lashkar, Gwalior- 474009,
Madhya Pradesh",Government,"Grant of conditional permission for intake capacity with
60  seats  (75  Seats  including  EWS)  in  UG  (BAMS) course and 04 seats (05 seats including EWS) in 01 PG course  in  the  subject  namely  Kriya  Sharir  for  the academic session 2024-25 under section 28 of NCISM Act, 2020",60,4,0,75,5,0,"Conditional Permission after Ist Appeal (UG - 60 seats, PG - 4 seats without EWS) & (UG - 75 seats,  PG - 5 seats including EWS)"
246,AYU0124,Madhya Pradesh,"Government Autonomous Dhanwantri Ayurved College, Mangalnath Marg, Taluka & District Ujjain-456001, Madhya Pradesh",Government,"Grant of conditional permission for intake capacity with
60  seats  (75  seats  including  EWS)  in  UG  (BAMS) course and 09 seats (11 seats including EWS) in 03 PG courses in the subjects namely (i) Dravyaguna Vigyana
- 04 seats (05 seats including EWS), (ii) Kayachikitsa - 03  seats  (04  seats  including  EWS)  and  (iii)  Rachna Sharir-  02  seats  for  the  academic  session  2024-25, under   section   28   of   the   NCISM   Act,   2020   and issuance of 1st renewal of permission in 06 seats in   02   PG    courses   in    the    subject    namely   (i) Panchakarma- 03 seats and (ii) Prasuti and Stri Roga- 03  seats  for  the  academic  session  2024-25,  under section 29 of the NCISM Act, 2020",60,15,0,75,17,0,"Conditional Permission after 1st Appeal (UG - 60 seats, PG - 15 seats without EWS) & (UG - 75 seats,  PG - 17 seats including EWS) & Ist Renewal of Permission 06 seats in 02 PG course"
247,AYU0142,Maharashtra,"Ashtang Ayurveda College, 2062, Sadashiv Peth, Survey No. 2032/B, Vijaynagar Colony, Pune 411030,
Maharashtra",Government aided,"Grant  of  Conditional  Permission  with  50  seats  in  UG (BAMS) course and 03 PG course with 09 seats in the subject   namely   (i)   Ayurved   Samhita,   Sanskrit   & Siddhanta- 03 Seats, (ii) Rachna Sharir- 03 seats and
(iii)  Prasuti  Tantra  and  Stri  Raga  -  03  Seats  for  the academic session 2024-25, under section 28 of NCISM Act, 2020",50,9,0,0,0,0,"Conditional Permission (UG - 50 seats, PG - 09
seats without EWS)"
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
248,AYU0171,Maharashtra,"Govt. Ayurvedic College, Raje Raghuji Nagar,
Umrer Road, Sakkardara Chowk,
Nagpur-440024, Maharashtra",Government,"Grant of conditional permission for issuance of conditional  with  93  seats  (116  seats  including  EWS) [instead of 100 seats (125 seats including EWS)] in UG (BAMS) course and 55 seats (69 seats including EWS) [instead of 60 seats (75 seats including EWS)] in 10 PG course  namely  (i)  Kayachikitsa-  06  seats  (08  seats including   EWS)   (ii)   Rasa   Shastra   and   Bhaisajya Kalpana  -  06  seats  (07  seats  including  EWS)  (iii) Ayurveda  Samhita  and Siddhant  -  06 seats  (07 seats including EWS) (iv) Rachna Sharir - 06 seats (07 seats including  EWS)  (v)  Kriya  Sharir  -  06  seats  (08  seats including EWS) (vi) Swasthavritta -06 seats (08 seats including  EWS)  (vii)  Rog  Nidan  -  06  seats  (07  seats including  EWS)  (viii)  Shalakya  Tantra  -  04  seats  (05 seats  including  EWS)  [instead  of  06  seats  (07  seats including EWS)] (ix) Shalya Tantra - 06 seats (08 seats including  EWS)  (x)  Agad  Tantra-  03  seats  (04  seats including EWS) [instead of 06 seats (08 seats including EWS)],  under  section  28  of  NCISM  Act,  2020  for  the
academic year 2024-25.",93,55,0,116,69,0,"Conditional Permission with Seat Reduction  (UG - 93 seats, PG - 55 seats without EWS) & (UG - 116 seats, PG - 69 seats without EWS)"
249,AYU0185,Maharashtra,"Government Ayurved College, Wazirabad, Tal. & Distt. Nanded- 431601,
Maharashtra",Government,"Grant  of  Conditional  Permission  with  100  seats  (125 seats  including  EWS)  in  UG  (BAMS)  course  and  46 seats (58 seats including EWS) in 12 PG courses in the subject   namely   (i)   Ayurved   Samhita,   Sankrit   & Siddhanta-02   seats   (03   seats   including   EWS)   (ii) Drayaguna Vigyana-02 seats (03 seats including EWS)
(iii)  Kayachikitsa-  04  seats  (05  seats  including  EWS)
(iv) Kriya Sharir -06 seats (07 seats including EWS) (v) Shalakya-05 seats (06 seats including EWS) (vi) Rasa Shastra   &   Bhaisajya   Kalpana-02   seats   (03   seats including EWS) (vii) Rog Nidan-Rog Nidan avum Vikriti Vigyan-06 seats (07 seats including EWS) (viii) Rachna Sharir-03    seats    (04    seats    including    EWS)    (ix) Swasthavritta-02  seats  (03  seats  including  EWS)  (x) Prasut & Stri Roga-02 seats (03 seats including EWS)
(xi)  Kaumarbhritya-  Bala  Roga-06  seats  (07  seats including   EWS)   (xii)   Shalaya-06   seats   (07   seats including  EWS)   for   the   academic   session   2024-25
under section 28 of NCISM Act, 2020",100,46,0,125,58,0,"Conditional Permission (UG -100 seats, PG -  46
seats without EWS) & UG - 125 seats, PG - 58 seats including EWS)"
250,AYU0538,Karnataka,"Govt. Ayurveda Medical College & Teaching Hospital, Opppsite to I.B., Sagar Road, Shivamogga-577201, Karnataka",Government,"Grant of conditional permission with 33 seats [instead of  60  seats]  in  UG  (BAMS)  and  for  the  academic session  2024-25  under  section  28  of  the  NCISM  Act, 2020",33,0,0,0,0,0,Conditiona Permission with Seat Reduction (UG- 33 seats without EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
251,AYU0008,Assam,"Government Ayurvedic College, Jalukbari, Distt-Kamrup (Metro),
Guwahati- 781014 , Assam",Government,"Grant of conditional permission for intake capacity with
50  seats  (63  Seats  including  EWS)  in  UG  (BAMS) course   for   the   academic   session   2024-25,   under section  28  of  the  NCISM  Act,  2020  and  relevant regulations   thereunder   in   respect   of   appeal   dated 23.10.2024 and 24 seats (30 seats including EWS) in 06   PG   courses   in   the   subject  namely   i)  Ayurved Samhita  &  Siddhanta  -  06  seats  (07  Seats  including EWS) ,ii) Rachna Sharir - 02 seats (03 Seats including EWS), iii) Rog Nidan avum Vikriti Vigyan - 03 seats (04 Seats including EWS), iv) Prasuti & Stri Roga - 04 seats (05  Seats  including  EWS),  v)  Kayachikitsa  -  06  seats (07  including  EWS)  and  vi)  Shalya  Tantra  -  03  seats (04  Seats  including  EWS)  for  the  academic  session 2024-25, under section 28 of NCISM Act, 2020",50,24,0,63,30,0,"Conditional Permission after 1st Appeal (UG - 50 seats, PG - 24 seats without EWS & UG -63 seats, PG - 30 seats including EWS)"
252,AYU0011,Bihar,"Rajkiya Ayodhya Shivkumar Ayurved College & Hospital At Lohiyanagar, P.O.- Suhirdnagar,
Dist. Begusari-851218 , Bihar",Government,"Grant of Conditional Permission with intake capacity of
30  seats  (38  seats  including  EWS)  in  UG  (BAMS) course for the academic session 2024-25 under section
28   of   NCISM   Act,   2020   and   relevant   regulations thereunder in respect of appeal dated 07.09.2024",30,0,0,38,0,0,"Conditional Permission after Ist Appeal (UG - 30 seats without EWS) & (UG
- 38 seats including EWS)"
253,AYU0021,New Delhi,"Ayurved & Unani Tibbia College and Hospital,
Ajmal Khan Road, Karol Bagh, New Delhi-110005",Government,"Grant of Conditional Permission with intake capacity of
60 seats (75 seats including EWS)] and 14 Seats (18 including EWS) in 4 PG courses namely (i) Kriya Sharir 03 Seats (04 Seats including EWS) (ii) Kayachikitsa- 03 seats (04 seats including EWS) (iii) Dravyaguna Vigyan
-05 seats (06 seats including EWS) (IV) Panchkarma- 03  seats  (04  seats  including  EWS  )  for  the  academic session 2024-25 under section 28 of NCISM Act, 2020 and   relevant   regulations   thereunder   in   respect   of appeal dated 16.08.2024.",60,14,0,75,18,0,"Conditional Permission after Ist Appeal with undertaking (UG - 60, PG - 14 seats without EWS & UG - 75, PG - 18 seats including EWS)"
254,AYU0028,Gujarat,"Sheth JP Govt. Ayurved College, Opp. Sardar Baug, Panvadi, Jashonath Chowk,
Bhavanagar- 364001, Gujarat",Government,"Grant of conditional permission with 55 seats (69 seats including EWS) instead of 60 seats (75 seats including EWS) in UG (BAMS) course, under section 28 of NCISM Act, 2020 for the academic session 2024-25.",55,0,0,69,0,0,Conditional Permission (UG - 55 seats without EWS & UG - 69 seats including EWS)
S. No,College ID,State,Name of the College,"Govt./Aided
/Private/ Deemed",Permission Details,Sanction seats,,,,,,Permission Status
,,,,,,"Sanction seats
(Without EWS)",,,"Sanction Seats
(with EWS)",,,
,,,,,,UG,PG,"PG
Diploma",UG,PG,"PG
Diploma",
